City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
18,Kapaa,US,79.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
43,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
44,Hilo,US,87.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
48,Butaritari,KI,82.17,overcast clouds,3.07,172.79,Isles Sunset Lodge
53,Gorontalo,ID,79.97,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
54,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
57,Kavaratti,IN,80.13,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
66,Atuona,PF,78.26,few clouds,-9.8,-139.03,Villa Enata
74,Ranong,TH,76.46,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
78,Abu Dhabi,AE,80.6,clear sky,24.47,54.37,Beach Rotana
81,Bengkulu,ID,75.45,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
92,Picota,PE,80.6,few clouds,-6.92,-76.33,Hospedaje Vanessa
93,Meulaboh,ID,77.76,light rain,4.14,96.13,Kost Pria
100,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
106,Kununurra,AU,87.8,broken clouds,-15.77,128.73,Hotel Kununurra
107,Marsh Harbour,BS,79.23,scattered clouds,26.54,-77.06,Abaco Beach Resort
109,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
116,Coahuayana,MX,82.4,scattered clouds,18.73,-103.68,Hotel Los Arcos
120,Kavieng,PG,84.61,scattered clouds,-2.57,150.8,Nusa Island Retreat
121,Kirakira,SB,86.16,scattered clouds,-10.45,161.92,SanBiz Lodge
129,Faanui,PF,79.0,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Sal Rei,CV,77.0,scattered clouds,16.18,-22.92,Marine Club Beach Resort
131,Kolokani,ML,81.01,few clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
140,Cartagena,CO,84.2,scattered clouds,10.4,-75.51,Costa Del Sol
144,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
149,Monrovia,LR,75.2,thunderstorm,6.3,-10.8,Eco-Hotel Hall & Restaurant
158,Buala,SB,85.57,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
159,Ugoofaaru,MV,81.3,light rain,5.67,73.0,Ungoofaaru Inn
162,Dingle,PH,77.11,overcast clouds,11.0,122.67,Camp Pasica
163,Bathsheba,BB,84.2,few clouds,13.22,-59.52,Atlantis Hotel
176,Banda Aceh,ID,80.74,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
179,Valdosta,US,78.8,broken clouds,30.83,-83.28,Courtyard by Marriott Valdosta
183,San Rafael,AR,79.99,clear sky,-34.62,-68.33,Hotel San Rafael
186,Port Blair,IN,80.6,broken clouds,11.67,92.75,Fortune Resort Bay Island
188,Alofi,NU,80.6,shower rain,-19.06,-169.92,Taloa Heights
195,Loiza,PR,84.2,scattered clouds,18.43,-65.88,Malibu Beachfront
201,Inirida,CO,75.06,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
203,Rio De Janeiro,BR,75.2,clear sky,-22.9,-43.21,Windsor Guanabara Hotel
208,Sur,OM,77.2,clear sky,22.57,59.53,Sur Plaza Hotel
210,Nabire,ID,75.9,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
211,Sola,VU,79.23,light rain,-13.88,167.55,Ulkel Guest House
213,Tecoanapa,MX,83.95,overcast clouds,16.52,-98.75,Hotel Manglares
217,Bonthe,SL,78.91,overcast clouds,7.53,-12.51,Bonthe Holiday Village
219,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
221,Manavalakurichi,IN,78.8,mist,8.13,77.3,Udaya Boys Hostel
227,Palauig,PH,81.05,overcast clouds,15.44,119.9,Myhousebythesea
231,Hobyo,SO,82.24,light rain,5.35,48.53,Osmani Hotel
232,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
233,Norsup,VU,82.4,broken clouds,-16.07,167.38,Nabelchel Bungalows
235,Gondanglegi,ID,77.27,clear sky,-7.75,112.01,Gg. Munasir Homestay
236,Bandarbeyla,SO,76.26,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
238,Aswan,EG,76.64,clear sky,24.09,32.91,Nuba Nile
242,Salta,AR,80.6,scattered clouds,-24.79,-65.41,Hotel Alejandro I
245,Maues,BR,86.11,broken clouds,-3.38,-57.72,Hotel Miramar
251,Vidalia,US,77.0,overcast clouds,32.22,-82.41,Quality Inn & Suites
256,Lazaro Cardenas,MX,83.68,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
263,Hambantota,LK,78.8,clear sky,6.12,81.12,Bungalow 63
271,Cikampek,ID,77.0,haze,-6.42,107.46,Prime Plaza Hotel Purwakarta
274,Hithadhoo,MV,82.11,light rain,-0.6,73.08,Scoop Guest House
275,Cantagallo,CO,80.78,light rain,7.38,-73.92,Apartahotel Altamira
279,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
285,Cabo San Lucas,MX,89.6,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
286,Amahai,ID,81.25,moderate rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
290,Vung Tau,VN,78.3,light rain,10.35,107.08,Seaside Resort
297,Harper,LR,76.75,light rain,4.38,-7.72,Screensaver
298,Loreto,MX,78.24,clear sky,22.27,-101.97,José de Jesús Velásquez mora
304,Hervey Bay,AU,80.6,moderate rain,-25.3,152.85,Shelly Bay Resort
305,Codajas,BR,82.11,light rain,-3.84,-62.06,Hotel Tamires
310,Sibu,MY,77.0,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
317,Ko Samui,TH,82.15,light rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
322,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
323,Garissa,KE,77.43,few clouds,-0.45,39.64,Sharif Plaza Hotel
328,Rosita,NI,77.58,light rain,13.93,-84.4,Colonia Cristo Rey
329,Itupiranga,BR,84.2,thunderstorm,-5.13,-49.33,JAIRO ORLINDO VIEIRA
330,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
346,Kalianget,ID,82.29,clear sky,-7.05,113.93,Pesanggrahan Garam
353,Lorengau,PG,85.28,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
355,Camocim,BR,80.22,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
358,Tamale,GH,79.12,few clouds,9.4,-0.84,Tap Hotel
359,Nueva Loja,EC,84.2,broken clouds,0.08,-76.88,Limoncocha Great Hotel
365,Anloga,GH,80.6,few clouds,5.79,0.9,Pin Drop Hotel
366,Umm Lajj,SA,83.25,clear sky,25.02,37.27,Moon light Furnished Units
373,Arlit,NE,80.69,clear sky,18.74,7.39,Hôtel Telwa Bungalow
375,Amuntai,ID,76.64,overcast clouds,-2.42,115.25,Hotel Balqis
381,Fare,PF,79.7,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
383,Totness,SR,81.95,scattered clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
389,Omboue,GA,76.51,overcast clouds,-1.57,9.26,Hotel Olako
394,Katherine,AU,86.0,clear sky,-14.47,132.27,Pine Tree Motel
398,Namatanai,PG,85.77,clear sky,-3.67,152.43,Namatanai Hotel
399,Mana,GF,81.75,broken clouds,5.66,-53.78,LE SAMANA
405,Escuinapa,MX,87.8,few clouds,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
407,Tumaco,CO,77.58,overcast clouds,1.8,-78.82,Hotel los mellizos
408,Buin,CL,75.2,clear sky,-33.73,-70.75,Paihuen
412,Manoel Urbano,BR,79.23,light rain,-8.84,-69.26,Baixada Beira Rio
414,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
417,Puerto Asis,CO,84.2,broken clouds,0.51,-76.5,Ayawaska Hostal
421,Mazagao,BR,84.2,clear sky,-0.12,-51.29,Casa Lima Santos
422,Tautira,PF,86.0,broken clouds,-17.73,-149.15,Pension Oaoa
427,Trindade,BR,75.2,broken clouds,-16.65,-49.49,Pousada Central
432,Kourou,GF,78.8,clear sky,5.16,-52.65,Lodge Takini 4
436,Tamandare,BR,77.29,light rain,-8.76,-35.1,Pousada 100 Passos
437,Mandali,IQ,75.02,broken clouds,33.75,45.55,بيت خالد امين
440,Shasta Lake,US,79.0,clear sky,40.68,-122.37,Shasta Dam Motel
441,Ahuimanu,US,82.4,moderate rain,21.44,-157.84,Paradise Bay Resort
449,Tamiahua,MX,80.17,clear sky,21.27,-97.45,Mission Of The Sun Hotel
450,Mareeba,AU,84.99,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
453,Saint-Georges,GD,80.6,thunderstorm,12.06,-61.75,Siesta Hotel
456,Mahibadhoo,MV,80.91,light rain,3.78,72.97,Omadhoo Inn
460,Larap,PH,78.94,overcast clouds,14.3,122.65,Mambulao Pacific Resort & Hotel
466,San Patricio,US,86.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
467,Padang,ID,79.21,light rain,-0.95,100.35,Mercure Padang
468,Ukiah,US,78.8,clear sky,39.15,-123.21,Hampton Inn Ukiah
469,Dzilam Gonzalez,MX,80.55,overcast clouds,21.28,-88.93,Amina
470,La Asuncion,VE,84.2,broken clouds,11.03,-63.86,Colinas de Matasiete
471,Sibolga,ID,76.98,heavy intensity rain,1.74,98.78,Hotel Syariah CN Darussalam
472,San Rafael Del Sur,NI,86.0,scattered clouds,11.85,-86.44,Hospedaje El Chino
473,Oliveira Dos Brejinhos,BR,78.58,broken clouds,-12.32,-42.9,Hotel Paraiso
493,Solano,US,78.8,clear sky,38.23,-121.95,Travis AFB FamCamp
494,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
498,Boa Vista,BR,78.8,moderate rain,2.82,-60.67,Aipana Plaza Hotel
499,Atar,MR,87.31,overcast clouds,20.52,-13.05,Oumou Elghoura
500,Akyab,MM,80.44,moderate rain,20.15,92.9,Hotel Memory
509,Aburi,GH,80.6,broken clouds,5.85,-0.18,Peduasi Hills Vila
513,Limbang,MY,77.0,moderate rain,4.75,115.0,Purnama Hotel
515,Sulangan,PH,80.6,overcast clouds,11.14,123.72,Maia's Beach Resort
518,Kalmunai,LK,77.43,broken clouds,7.42,81.82,VS Villa
520,Sai Buri,TH,77.23,overcast clouds,6.7,101.62,ร้าน​ เวดดิ้ง
524,Kalawit,PH,77.25,overcast clouds,8.07,122.52,Ompoy Pension House
527,Port-Gentil,GA,75.2,overcast clouds,-0.72,8.78,Fengshui Residence
545,Victoria Point,AU,81.0,overcast clouds,-27.58,153.3,Bay Retreat Motel
546,Pouembout,NC,82.94,clear sky,-21.13,164.9,Camping de Tipenga
551,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
553,Riberalta,BO,87.8,broken clouds,-10.98,-66.1,Hotel Colonial
558,Ewa Beach,US,82.0,moderate rain,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
559,Jiwani,PK,76.57,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
565,Trairi,BR,79.3,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
568,Parnamirim,BR,77.0,light rain,-5.92,-35.26,Pousada Joaci
574,Safaga,EG,77.0,clear sky,26.73,33.94,Lamar Resort Abu Soma
576,Dhidhdhoo,MV,81.3,few clouds,6.88,73.1,Dhidhoo beach
578,Dwarka,IN,81.19,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
580,Sao Filipe,CV,79.97,few clouds,14.9,-24.5,Tortuga B&B
582,San Policarpo,PH,78.39,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
583,Ulladulla,AU,75.2,moderate rain,-35.35,150.47,Sandpiper Motel
585,Nouadhibou,MR,75.2,broken clouds,20.93,-17.03,El Medina
586,Iracoubo,GF,82.27,scattered clouds,5.48,-53.2,Le Gite D Iracoubo
587,Beberibe,BR,80.6,scattered clouds,-4.18,-38.13,Villa Arte Pousada Morro Branco
590,Bull Savanna,JM,76.59,light rain,17.89,-77.59,Big Red's
592,Cuicatlan,MX,82.98,overcast clouds,17.8,-96.97,casa de huéspedes Cristal
601,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
603,Kulhudhuffushi,MV,81.43,scattered clouds,6.62,73.07,Haajy Guest House 1
606,Dapaong,TG,77.72,clear sky,10.86,0.2,Hotel Caroli
607,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
608,Cabadiangan,PH,76.03,light rain,9.75,122.47,Kipot
612,San Juan Evangelista,MX,86.0,clear sky,17.9,-95.13,Salon INAPAM San Juan Evangelista
616,Carutapera,BR,77.4,overcast clouds,-1.2,-46.02,Lidera
619,Neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
626,Saint George,US,75.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
627,Jacareacanga,BR,80.69,light rain,-6.22,-57.75,Casa do Ian😎
628,Cururupu,BR,76.12,light rain,-1.83,-44.87,Pousada Través'cia
631,Laguna De Perlas,NI,84.2,few clouds,12.34,-83.67,Hotel Best View
641,Laguna,US,81.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
646,Manadhoo,MV,81.27,broken clouds,5.77,73.38,Vevu Guesthouse
650,Auki,SB,86.38,scattered clouds,-8.77,160.7,Auki Motel
651,Asyut,EG,75.2,clear sky,27.18,31.18,Florence Hotel Assiut
652,Davila,PH,78.8,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
655,Sao Geraldo Do Araguaia,BR,79.92,light rain,-6.4,-48.55,Hotel Rio Araguaia
656,Ixtapa,MX,87.8,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
658,Bonoua,CI,80.6,scattered clouds,5.27,-3.6,Hotel Bon Samaritian
664,Mount Isa,AU,77.0,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
665,Champerico,GT,80.6,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
668,Yeppoon,AU,78.8,broken clouds,-23.13,150.73,Villa Mar Colina
670,Noumea,NC,87.8,clear sky,-22.28,166.46,Hôtel Le Lagon
675,Biak,ID,80.02,clear sky,-0.91,122.88,Kost Ariz
685,Mayumba,GA,77.29,light rain,-3.43,10.66,LIKWALE LODGE
695,Porto Walter,BR,83.19,broken clouds,-8.27,-72.74,Hotel Silva
