City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Albany,US,42.6,-73.97,66.99,76,68,1.99,broken clouds
1,Punta Arenas,CL,-53.15,-70.92,46.4,70,75,8.05,broken clouds
2,Ankang,CN,32.68,109.02,53.47,66,79,2.75,broken clouds
3,Thompson,CA,55.74,-97.86,24.8,58,75,8.05,light snow
4,Ketchikan,US,55.34,-131.65,46.4,28,1,3.36,clear sky
5,Bethel,US,41.37,-73.41,62.01,97,91,4.52,overcast clouds
6,Killybegs,IE,54.63,-8.45,48.0,93,100,18.01,light rain
7,Ushuaia,AR,-54.8,-68.3,44.6,65,75,12.75,broken clouds
8,Los Llanos De Aridane,ES,28.66,-17.92,69.8,64,40,10.29,scattered clouds
9,Busselton,AU,-33.65,115.33,55.99,70,0,5.99,clear sky
10,Mataura,NZ,-46.19,168.86,70.0,52,63,13.0,broken clouds
11,Taoudenni,ML,22.68,-3.98,87.01,13,18,10.76,few clouds
12,Cape Town,ZA,-33.93,18.42,61.0,93,90,9.17,fog
13,Castro,BR,-24.79,-50.01,62.44,95,33,8.37,light rain
14,Carnarvon,AU,-24.87,113.63,71.6,78,0,18.34,clear sky
15,Great Yarmouth,GB,52.61,1.73,46.99,99,57,1.01,broken clouds
16,Helong,CN,42.54,129.0,31.35,80,0,17.27,clear sky
17,Puerto Ayora,EC,-0.74,-90.35,70.0,89,65,4.0,broken clouds
18,Kapaa,US,22.08,-159.32,79.0,88,90,10.29,light rain
19,Lebu,CL,-37.62,-73.65,52.63,86,100,1.05,overcast clouds
20,Prosvet,RU,55.57,65.08,21.87,90,0,5.3,clear sky
21,Chokurdakh,RU,70.63,147.92,9.23,91,95,7.0,overcast clouds
22,Tommot,RU,58.96,126.29,17.58,92,54,1.03,broken clouds
23,Lompoc,US,34.64,-120.46,66.2,68,90,12.75,overcast clouds
24,Ponta Do Sol,PT,32.67,-17.1,66.2,63,40,3.36,scattered clouds
25,Clyde River,CA,70.47,-68.59,21.2,79,90,4.7,overcast clouds
26,Coquimbo,CL,-29.95,-71.34,55.4,82,75,5.82,broken clouds
27,Gamba,GA,-2.65,10.0,76.57,87,100,7.52,overcast clouds
28,Hobart,AU,-42.88,147.33,59.0,58,75,12.75,broken clouds
29,Upernavik,GL,72.79,-56.15,22.28,91,99,7.63,overcast clouds
30,Lintangan,PH,7.22,121.95,78.8,83,75,2.24,broken clouds
31,Airai,TL,-8.93,125.41,68.36,88,28,1.16,scattered clouds
32,East London,ZA,-33.02,27.91,70.5,75,59,15.55,broken clouds
33,Skibbereen,IE,51.55,-9.27,51.8,87,75,25.28,broken clouds
34,Hermanus,ZA,-34.42,19.23,64.0,91,26,1.01,scattered clouds
35,Bredasdorp,ZA,-34.53,20.04,66.2,93,31,0.87,scattered clouds
36,Guerrero Negro,MX,27.98,-114.06,72.37,61,48,14.52,scattered clouds
37,Yulara,AU,-25.24,130.99,64.4,55,4,14.99,clear sky
38,Tazovskiy,RU,67.47,78.7,21.09,98,100,8.86,overcast clouds
39,Miyako,JP,39.64,141.95,52.52,57,0,7.65,clear sky
40,Jamestown,US,42.1,-79.24,69.8,56,1,10.29,clear sky
41,Ust-Kan,RU,50.93,84.76,28.98,92,99,5.86,overcast clouds
42,Quatre Cocos,MU,-20.21,57.76,73.4,69,20,8.05,few clouds
43,Georgetown,MY,5.41,100.34,78.8,94,20,3.71,few clouds
44,Hilo,US,19.73,-155.09,87.8,55,1,12.75,clear sky
45,Coos Bay,US,43.37,-124.22,64.99,50,90,4.7,overcast clouds
46,Arraial Do Cabo,BR,-22.97,-42.03,73.4,73,0,11.41,clear sky
47,Agadez,NE,19.75,10.25,73.0,19,0,10.85,clear sky
48,Butaritari,KI,3.07,172.79,82.17,73,100,12.75,overcast clouds
49,Manzhouli,CN,49.6,117.43,27.21,93,0,1.03,clear sky
50,Dokri,PK,27.37,68.1,69.69,19,0,6.11,clear sky
51,Qaanaaq,GL,77.48,-69.36,18.82,92,98,7.92,overcast clouds
