City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Punta Arenas,CL,-53.15,-70.92,48.2,61,75,5.82,broken clouds
1,Vaini,TO,-21.2,-175.2,75.2,73,75,9.17,broken clouds
2,Bluff,NZ,-46.6,168.33,60.01,56,95,7.0,overcast clouds
3,Takoradi,GH,4.88,-1.76,76.69,92,65,7.05,broken clouds
4,Sorland,NO,67.67,12.69,37.04,78,92,11.54,overcast clouds
5,Busselton,AU,-33.65,115.33,66.0,55,15,1.99,few clouds
6,Manono,CD,-7.3,27.42,69.37,91,100,1.68,overcast clouds
7,Bengkulu,ID,-3.8,102.27,81.01,72,100,5.86,overcast clouds
8,Sur,OM,22.57,59.53,78.4,59,2,8.81,clear sky
9,Alice Springs,AU,-23.7,133.88,98.6,20,40,19.46,dust
10,Mataura,NZ,-46.19,168.86,60.01,56,93,7.0,overcast clouds
11,Bathsheba,BB,13.22,-59.52,82.4,83,75,17.22,broken clouds
12,Vila Franca Do Campo,PT,37.72,-25.43,60.8,72,75,9.17,broken clouds
13,Butaritari,KI,3.07,172.79,82.0,71,13,8.81,few clouds
14,Mahebourg,MU,-20.41,57.7,75.2,73,40,14.99,shower rain
15,Chuy,UY,-33.7,-53.46,57.58,78,85,12.33,light rain
16,Tazovskiy,RU,67.47,78.7,14.32,97,90,11.56,overcast clouds
17,Lebu,CL,-37.62,-73.65,46.6,85,0,14.67,clear sky
18,Pangnirtung,CA,66.15,-65.71,24.42,94,100,5.01,light snow
19,Cochrane,CA,51.18,-114.47,16.0,85,90,9.17,overcast clouds
20,Baie-Comeau,CA,49.22,-68.15,41.0,93,90,2.24,overcast clouds
21,Riyadh,SA,24.69,46.72,60.8,26,0,5.82,clear sky
22,Esperance,AU,-33.87,121.9,64.4,82,75,16.11,broken clouds
23,Rafai,CF,4.95,23.92,68.16,99,100,2.24,light rain
24,Kjollefjord,NO,70.95,27.35,29.64,94,4,7.27,clear sky
25,Isangel,VU,-19.55,169.27,81.23,69,4,9.33,light rain
26,Saint-Philippe,RE,-21.36,55.77,75.2,57,59,4.7,broken clouds
27,Vicuna,CL,-30.03,-70.71,51.8,87,0,2.24,clear sky
28,Bilibino,RU,68.05,166.44,22.21,95,8,2.28,clear sky
29,Belcista,MK,41.3,20.83,45.63,58,9,2.01,clear sky
30,Rikitea,PF,-23.12,-134.97,74.23,73,96,1.95,light rain
31,Carlsbad,US,33.16,-117.35,66.99,82,75,3.36,broken clouds
32,Iquique,CL,-20.22,-70.14,62.6,77,90,13.87,overcast clouds
33,Khatanga,RU,71.97,102.5,7.02,92,68,9.22,broken clouds
34,Lukovetskiy,RU,64.3,41.92,24.8,92,90,2.24,fog
35,Adamas,GR,36.73,24.43,64.4,88,41,10.29,light rain
36,Kapaa,US,22.08,-159.32,82.4,74,75,9.17,broken clouds
37,Hami,CN,42.8,93.45,62.92,25,0,7.72,clear sky
38,Port Hawkesbury,CA,45.62,-61.35,57.2,100,75,5.82,broken clouds
39,Dali,CN,25.7,100.18,49.89,87,98,4.79,light rain
40,Poum,NC,-20.23,164.02,77.22,77,0,15.17,clear sky
41,Port Alfred,ZA,-33.59,26.89,61.43,80,0,8.48,clear sky
42,Zhengjiatun,CN,43.51,123.51,44.15,53,50,10.47,scattered clouds
43,Ushuaia,AR,-54.8,-68.3,50.0,53,75,5.82,broken clouds
44,Luderitz,NA,-26.65,15.16,57.72,87,68,21.41,broken clouds
45,Port Moresby,PG,-9.44,147.18,87.8,70,40,17.22,haze
46,Hobart,AU,-42.88,147.33,63.0,55,75,10.29,broken clouds
47,Tuktoyaktuk,CA,69.45,-133.04,19.4,79,75,13.87,broken clouds
48,Forestville,US,38.85,-76.88,69.01,100,1,6.93,clear sky
49,Christchurch,NZ,-43.53,172.63,59.0,62,56,16.11,broken clouds
50,Tiksi,RU,71.69,128.87,12.76,94,100,5.08,overcast clouds
51,Sao Filipe,CV,14.9,-24.5,80.47,75,43,4.99,scattered clouds
52,Barrow,US,71.29,-156.79,33.8,95,90,14.99,mist
53,New Norfolk,AU,-42.78,147.06,64.0,44,57,1.99,broken clouds
54,Chingirlau,KZ,51.09,54.08,28.78,93,0,8.7,clear sky
55,Wamba,NG,8.93,8.6,71.69,74,82,2.75,broken clouds
56,Mar Del Plata,AR,-38.0,-57.56,55.0,76,40,16.11,scattered clouds
57,Yarmouth,US,41.71,-70.23,64.99,100,90,8.05,fog
58,Chimbote,PE,-9.09,-78.58,61.99,88,44,7.49,scattered clouds
59,Ahtopol,BG,42.1,27.95,51.01,93,0,5.82,clear sky
60,Katsuura,JP,35.13,140.3,72.0,54,100,5.99,overcast clouds
61,Le Mars,US,42.79,-96.17,42.01,70,90,10.29,overcast clouds
62,Acapulco,MX,16.86,-99.89,82.4,83,40,3.36,scattered clouds
63,Kerewan,GM,13.49,-16.09,78.8,100,31,2.24,scattered clouds
64,Loralai,PK,30.37,68.6,60.84,23,0,5.12,clear sky
65,Puerto Ayora,EC,-0.74,-90.35,68.0,93,98,5.01,overcast clouds
66,Nikolskoye,RU,59.7,30.79,39.2,100,90,6.71,mist
67,Klaksvik,FO,62.23,-6.59,35.6,64,85,2.24,overcast clouds
68,Thompson,CA,55.74,-97.86,23.0,92,90,4.7,overcast clouds
69,Shunyi,CN,40.12,116.65,57.99,14,0,22.37,clear sky
70,Port Elizabeth,ZA,-33.92,25.57,51.8,93,0,3.36,clear sky
71,Fortuna,US,40.6,-124.16,54.0,87,1,14.99,clear sky
72,Nizhniy Tsasuchey,RU,50.52,115.13,35.67,76,0,9.42,clear sky
73,Komsomolskiy,UZ,40.43,71.72,53.6,40,45,6.93,scattered clouds
