City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2020-10-20 01:17:49,42.1,-79.24,53.01,93,90,8.05
1,Saint George,US,2020-10-20 01:17:50,37.1,-113.58,80.6,11,1,11.41
2,Lazaro Cardenas,MX,2020-10-20 01:17:50,17.96,-102.2,81.41,85,52,4.56
3,Sitka,US,2020-10-20 01:17:50,57.05,-135.33,44.6,81,75,9.17
4,Chicama,PE,2020-10-20 01:17:50,-7.84,-79.15,63.32,80,2,7.11
5,Olafsvik,IS,2020-10-20 01:17:50,64.89,-23.71,38.73,74,92,6.51
6,Vaini,TO,2020-10-20 01:15:34,-21.2,-175.2,77.0,69,40,12.75
7,Hobart,AU,2020-10-20 01:16:01,-42.88,147.33,66.0,58,40,6.93
8,Shingu,JP,2020-10-20 01:17:51,33.73,135.98,66.2,55,40,4.7
9,Cabedelo,BR,2020-10-20 01:17:51,-6.98,-34.83,73.4,88,20,4.7
10,Ribeira Grande,PT,2020-10-20 01:15:24,38.52,-28.7,64.15,69,28,26.57
11,Tasiilaq,GL,2020-10-20 01:15:21,65.61,-37.64,30.2,92,60,9.17
12,Rikitea,PF,2020-10-20 01:17:51,-23.12,-134.97,74.41,76,0,11.1
13,Klyuchi,RU,2020-10-20 01:17:51,52.27,79.17,38.41,66,98,11.79
14,Busselton,AU,2020-10-20 01:17:51,-33.65,115.33,66.99,65,0,1.99
15,Yellowknife,CA,2020-10-20 01:14:43,62.46,-114.35,27.0,73,75,2.24
16,Monrovia,LR,2020-10-20 01:17:52,6.3,-10.8,78.31,86,80,9.55
17,Ushuaia,AR,2020-10-20 01:17:52,-54.8,-68.3,35.6,93,75,24.16
18,Cape Town,ZA,2020-10-20 01:17:52,-33.93,18.42,59.0,93,75,6.93
19,Lopatino,RU,2020-10-20 01:17:52,52.62,45.81,38.32,89,6,7.05
20,Thompson,CA,2020-10-20 01:15:02,55.74,-97.86,28.4,63,90,4.7
21,Albany,US,2020-10-20 01:17:53,42.6,-73.97,55.0,89,100,5.41
22,Nikolskoye,RU,2020-10-20 01:15:51,59.7,30.79,35.6,80,90,15.66
23,Yerbogachen,RU,2020-10-20 01:17:53,61.28,108.01,24.64,94,100,11.9
24,Maldonado,UY,2020-10-20 01:17:53,-34.67,-54.92,62.6,88,90,16.11
25,Vila Velha,BR,2020-10-20 01:12:59,-20.33,-40.29,71.6,88,75,2.24
26,Bredasdorp,ZA,2020-10-20 01:15:19,-34.53,20.04,57.2,76,93,11.41
27,Port Hawkesbury,CA,2020-10-20 01:17:53,45.62,-61.35,55.99,100,90,8.05
28,Punta Arenas,CL,2020-10-20 01:13:21,-53.15,-70.92,39.2,80,20,23.04
29,Bollnas,SE,2020-10-20 01:15:20,61.35,16.39,29.59,97,40,2.1
30,Ahipara,NZ,2020-10-20 01:15:48,-35.17,173.17,65.43,65,100,11.3
31,Cockburn Town,TC,2020-10-20 01:17:54,21.46,-71.14,82.06,77,97,13.42
32,Souillac,MU,2020-10-20 01:17:54,-20.52,57.52,73.4,78,20,8.05
33,Hondo,JP,2020-10-20 01:17:54,32.45,130.2,69.8,52,20,13.87
34,Hokitika,NZ,2020-10-20 01:17:54,-42.72,170.97,56.55,67,58,9.69
35,Sechura,PE,2020-10-20 01:17:54,-5.56,-80.82,66.76,74,54,13.38
36,Tiksi,RU,2020-10-20 01:17:55,71.69,128.87,14.25,92,100,23.82
37,Porto Santo,PT,2020-10-20 01:17:55,33.07,-16.34,68.0,94,75,10.29
38,Margate,GB,2020-10-20 01:17:55,51.38,1.39,54.0,66,100,5.01
39,Guarapari,BR,2020-10-20 01:17:55,-20.67,-40.5,69.8,94,75,4.7
40,Hilo,US,2020-10-20 01:14:10,19.73,-155.09,86.0,55,1,13.87
41,Sola,VU,2020-10-20 01:17:55,-13.88,167.55,86.0,70,90,4.7
42,Xichang,CN,2020-10-20 01:17:55,27.9,102.26,54.95,79,91,2.08
43,Kijang,KR,2020-10-20 01:17:56,35.24,129.21,62.6,55,0,4.7
44,Axim,GH,2020-10-20 01:15:00,4.87,-2.24,77.25,88,73,7.81
45,Jalgaon,IN,2020-10-20 01:17:56,21.02,75.57,77.47,82,1,1.43
46,Port Blair,IN,2020-10-20 01:17:56,11.67,92.75,81.72,82,89,15.05
47,Hovd,MN,2020-10-20 01:16:36,48.01,91.64,25.34,82,0,2.44
48,Kesinga,IN,2020-10-20 01:17:56,20.2,83.23,74.84,90,22,2.15
49,Tabuk,PH,2020-10-20 01:17:56,17.42,121.44,76.24,90,100,12.1
50,Touros,BR,2020-10-20 01:17:57,-5.2,-35.46,77.0,83,40,3.36
51,Carrefour,HT,2020-10-20 01:17:57,18.54,-72.4,80.6,83,84,5.82
52,Esperance,AU,2020-10-20 01:17:57,-33.87,121.9,60.8,100,90,9.17
53,Aden,YE,2020-10-20 01:13:29,12.78,45.04,82.98,58,0,2.95
54,Zyryanka,RU,2020-10-20 01:17:57,65.75,150.85,19.33,96,100,7.78
55,Sibu,MY,2020-10-20 01:17:58,2.3,111.82,80.6,83,20,5.82
56,Severo-Kurilsk,RU,2020-10-20 01:17:58,50.68,156.12,42.21,64,67,10.83
57,Beringovskiy,RU,2020-10-20 01:15:35,63.05,179.32,39.58,82,97,11.5
58,Clyde River,CA,2020-10-20 01:17:58,70.47,-68.59,32.0,91,1,18.34
59,Port Hedland,AU,2020-10-20 01:17:58,-20.32,118.57,82.4,65,0,11.41
60,Kutum,SD,2020-10-20 01:17:58,14.2,24.67,73.87,20,23,9.06
61,Mataura,NZ,2020-10-20 01:17:58,-46.19,168.86,52.0,76,83,13.0
62,Magdagachi,RU,2020-10-20 01:17:58,53.45,125.8,30.06,94,100,8.97
63,Pisco,PE,2020-10-20 01:17:59,-13.7,-76.22,64.4,72,0,14.99
64,Namatanai,PG,2020-10-20 01:17:59,-3.67,152.43,84.76,70,92,1.34
65,San Cristobal,VE,2020-10-20 01:16:01,7.77,-72.22,84.2,58,40,4.7
66,Karema,TZ,2020-10-20 01:17:59,-6.82,30.44,74.88,61,0,3.94
67,Saskylakh,RU,2020-10-20 01:17:59,71.92,114.08,22.46,97,86,4.79
68,Salalah,OM,2020-10-20 01:17:59,17.02,54.09,80.6,51,75,3.36
69,Saint Anthony,US,2020-10-20 01:18:00,45.02,-93.22,34.0,80,90,3.11
70,Kavaratti,IN,2020-10-20 01:18:00,10.57,72.64,81.0,75,79,10.8
71,Dunedin,NZ,2020-10-20 01:18:00,-45.87,170.5,57.0,59,93,17.0
72,Kapaa,US,2020-10-20 01:18:00,22.08,-159.32,84.99,70,40,12.75
73,Amberley,US,2020-10-20 01:18:00,39.2,-84.43,55.99,93,90,0.85
74,Ilulissat,GL,2020-10-20 01:15:26,69.22,-51.1,37.4,89,100,4.7
